Дата поста (UTC),Время поста,Количество лайков
2019-09-15,17:30:14,5
2019-09-11,13:43:37,7
2019-09-08,03:22:07,5
2019-09-02,04:50:26,7
2019-08-31,19:26:29,6
2019-08-29,10:31:07,4
2019-08-24,18:06:05,4
2019-08-17,04:23:22,4
2019-08-15,17:52:16,16
2019-08-14,18:11:25,6
2019-08-14,13:27:46,3
2019-08-06,17:23:59,9
2019-08-01,03:39:16,3
2019-07-30,05:29:05,4
2019-07-22,18:17:14,11
2019-07-21,08:31:21,6
2019-07-19,15:13:23,6
2019-07-16,14:45:22,1
2019-07-13,07:00:29,3
2019-07-05,14:35:24,3
2019-07-05,03:23:10,6
2019-07-01,18:11:55,14
2019-06-30,16:07:32,8
2019-06-23,13:48:31,6
2019-06-21,13:04:31,3
2019-06-18,13:52:49,5
2019-06-17,15:48:05,5
2019-06-16,16:04:31,9
2019-06-07,12:19:25,5
2019-06-06,12:53:57,6
2019-06-05,11:34:24,2
2019-06-05,04:40:48,2
2019-06-03,04:04:06,2
2019-05-31,13:47:33,3
2019-05-31,04:34:20,2
2019-05-25,16:04:32,4
2019-05-21,09:07:25,14
2019-05-19,12:57:42,5
2019-05-17,17:58:38,3
2019-05-15,15:56:49,3
2019-05-13,18:12:02,8
2019-05-08,07:10:44,1
2019-05-03,18:21:29,4
2019-05-01,13:39:11,1
2019-05-01,04:53:01,3
2019-04-25,17:15:50,9
2019-04-21,18:21:37,0
2019-04-20,17:45:00,5
2019-04-18,17:20:00,4
2019-04-17,15:24:50,4
2019-04-14,06:45:50,2
2019-04-09,07:44:06,0
2019-04-07,18:25:06,4
2019-04-07,18:11:37,6
2019-04-07,17:30:05,0
2019-04-02,08:49:29,2
2019-04-01,18:11:32,0
2019-03-29,18:13:20,3
2019-03-25,16:45:39,8
2019-03-25,12:21:27,2
2019-03-23,19:20:22,1
2019-03-20,18:09:01,4
2019-03-20,05:01:41,2
2019-03-16,18:24:48,6
2019-03-07,06:54:30,3
2019-03-07,05:38:29,0
2019-03-02,18:05:15,1
2019-02-27,06:07:22,2
2019-02-22,08:15:23,2
2019-02-05,16:47:11,2
2019-02-01,17:06:33,2
2019-02-01,17:05:58,2
2019-01-24,15:37:04,2
2019-01-23,04:11:24,3
2019-01-19,15:27:42,7
2019-01-16,17:54:21,5
2019-01-11,15:03:33,7
2019-01-06,15:22:37,5
2018-12-19,16:31:07,11
2018-11-24,03:14:31,3
2018-11-10,16:53:40,3
2018-11-10,14:59:49,3
2018-11-10,04:17:12,3
2018-11-10,04:17:05,3
2018-11-10,03:41:12,3
2018-11-09,20:48:24,3
2018-11-09,20:20:20,3
2018-10-31,13:45:01,7
2018-10-18,07:11:11,2
2018-10-15,04:13:02,2
2018-10-10,04:17:29,4
2018-10-09,04:13:31,4
2018-10-05,17:07:20,3
2018-10-03,17:41:15,3
2018-09-30,09:26:08,5
2018-09-17,17:49:16,2
2018-09-09,17:21:18,3
2018-09-08,02:59:02,4
2018-08-25,18:09:31,3
2018-08-24,16:44:13,2
2018-08-21,17:40:17,6
2018-08-18,04:17:09,4
2018-08-16,15:37:42,3
2018-07-25,14:08:05,2
2018-07-24,17:28:01,3
2018-07-17,13:14:36,4
2018-07-16,17:11:17,2
2018-07-14,17:24:37,5
2018-07-04,14:36:24,3
2018-06-30,18:20:08,1
2018-06-29,04:52:50,2
2018-06-28,07:57:32,6
2018-06-26,15:23:05,2
2018-06-26,15:21:59,5
2018-06-23,11:07:06,0
2018-06-17,09:45:05,6
2018-06-15,07:17:26,2
2018-06-13,14:45:57,7
2018-06-08,04:44:12,4
2018-06-04,04:17:07,4
2018-05-30,15:10:02,0
2018-05-28,02:08:21,0
2018-05-23,03:50:01,2
2018-05-12,16:52:17,1
2018-05-11,04:37:32,3
2018-05-07,17:45:59,2
2018-04-21,13:14:53,0
2018-04-01,05:52:46,3
2018-03-28,12:42:19,0
2018-03-26,16:58:16,0
2018-03-17,04:51:30,1
2018-03-15,15:21:22,7
2018-03-14,15:56:54,2
2018-03-08,04:56:30,1
2018-03-08,04:53:57,1
2018-03-08,04:53:24,1
2018-02-25,16:14:54,0
2018-02-24,17:43:34,1
2018-02-21,15:35:58,1
2018-02-18,17:52:47,0
2018-02-17,13:26:02,0
2018-02-17,06:46:45,1
2018-02-16,05:53:26,4
2018-02-16,05:53:06,2
2018-02-14,15:09:16,1
2018-02-13,17:50:21,0
2018-02-13,06:32:05,3
2018-02-08,16:58:00,1
2018-02-02,18:08:48,2
2018-01-22,15:45:18,0
2018-01-20,17:57:12,0
2018-01-13,17:35:12,0
2018-01-12,17:58:08,2
2017-12-28,15:07:14,0
2017-12-25,17:50:40,0
2017-12-25,16:44:34,1
2017-12-22,17:52:58,1
2017-12-20,13:38:37,2
2017-12-17,15:47:03,0
2017-12-16,16:54:30,0
2017-12-15,02:40:48,0
2017-12-08,17:45:31,0
2017-12-07,04:15:37,1
2017-11-30,17:04:31,1
2017-11-20,15:02:48,1
2017-11-11,23:05:18,1
2017-11-10,18:35:16,1
2017-11-10,11:39:29,1
2017-11-10,09:03:27,1
2017-11-10,03:32:46,1
2017-11-09,21:11:49,1
2017-10-31,16:26:52,0
2017-10-31,10:13:10,1
2017-10-21,12:24:18,0
2017-10-14,17:27:20,1
2017-10-13,05:47:14,0
2017-10-08,16:47:15,1
2017-10-08,15:54:03,1
2017-10-08,15:34:00,0
2017-09-24,13:28:43,1
2017-09-18,14:58:06,1
2017-09-17,16:52:42,2
2017-09-05,16:21:03,2
2017-09-05,09:39:18,2
2017-08-27,13:42:24,1
2017-08-22,13:26:14,2
2017-08-20,17:07:43,3
2017-08-16,12:25:58,0
2017-08-13,15:02:56,1
2017-08-13,14:59:40,1
2017-08-12,17:40:29,5
2017-08-11,17:10:36,3
2017-08-04,16:23:43,1
2017-07-27,16:21:55,2
2017-07-24,14:54:49,2
2017-07-23,13:38:42,3
2017-07-22,13:43:23,9
2017-07-17,10:02:26,3
2017-07-16,15:09:03,0
2017-07-08,14:45:21,2
2017-07-07,15:57:24,4
2017-07-06,10:27:37,0
2017-06-29,16:01:51,1
2017-06-29,12:05:01,0
2017-06-26,14:24:19,0
2017-06-20,17:18:27,0
2017-06-16,13:29:13,2
2017-06-15,09:08:16,1
2017-06-11,14:54:01,0
2017-06-08,09:07:41,0
2017-06-07,15:27:54,6
2017-06-06,13:24:25,0
2017-06-04,15:17:15,3
2017-05-31,14:09:15,1
2017-05-31,14:03:19,0
2017-05-31,13:11:06,1
2017-05-26,13:55:00,0
2017-05-26,09:47:01,1
2017-05-26,09:41:18,1
2017-05-26,09:39:17,1
2017-05-24,14:42:09,1
2017-05-23,14:10:43,0
2017-05-22,09:21:17,3
2017-05-22,09:00:11,0
2017-05-22,08:59:17,0
2017-05-20,16:41:56,0
2017-05-20,14:19:28,1
2017-05-20,14:18:47,0
2017-05-07,17:02:12,0
2017-05-07,16:59:16,0
2017-04-28,15:34:52,2
2017-04-28,15:33:51,2
2017-04-27,13:15:08,0
2017-04-24,13:41:09,1
2017-04-23,16:31:33,2
2017-04-22,13:13:28,2
2017-04-18,13:49:14,1
2017-04-06,12:27:38,0
2017-04-05,16:41:45,1
2017-04-03,12:37:40,1
2017-03-28,14:27:11,1
2017-03-26,14:34:29,1
2017-03-25,13:01:59,0
2017-03-09,15:09:15,2
2017-03-05,09:38:17,2
2017-03-02,15:51:27,1
2017-03-01,12:28:50,2
2017-02-27,14:22:51,1
2017-02-25,12:58:08,2
2017-02-25,12:45:11,3
2017-02-23,14:56:13,2
2017-02-22,12:55:49,1
2017-02-14,12:30:44,1
2017-02-14,12:27:57,1
2017-01-21,13:36:52,3
2017-01-17,13:01:07,4
2016-12-31,16:32:39,3
2016-12-31,13:40:45,2
2016-12-31,12:01:58,2
2016-12-16,16:16:13,1
2016-12-13,09:30:28,1
2016-11-10,18:00:54,1
2016-11-10,16:25:50,1
2016-11-10,15:40:38,4
2016-11-10,13:46:06,1
2016-11-10,12:07:46,1
2016-11-10,11:28:57,1
2016-11-10,11:13:47,1
2016-11-10,10:43:20,1
2016-11-10,10:42:39,1
2016-11-10,09:45:01,2
2016-11-10,07:17:34,1
2016-11-10,04:07:10,1
2016-11-09,19:57:08,1
2016-11-02,14:51:47,4
2016-10-31,12:59:49,1
2016-10-28,14:13:03,1
2016-10-12,16:05:26,1
2016-10-12,16:04:39,1
2016-10-12,12:23:16,1
2016-10-08,17:01:46,2
2016-10-08,16:42:17,1
2016-10-02,15:23:10,1
2016-10-02,15:13:13,3
2016-09-30,13:32:45,5
2016-09-30,13:25:15,3
2016-09-28,17:15:12,1
2016-09-28,17:03:22,1
2016-09-25,14:56:48,3
2016-09-18,15:15:13,1
2016-09-14,13:28:50,3
2016-09-14,13:19:17,1
2016-09-10,14:35:43,2
2016-09-10,14:35:05,0
2016-09-10,14:34:38,0
2016-09-04,08:48:22,2
2016-09-04,08:48:00,1
2016-09-02,16:13:46,0
2016-08-29,13:28:17,0
2016-08-28,16:11:47,2
2016-08-28,08:24:32,4
2016-08-27,14:10:54,4
2016-08-26,09:04:25,2
2016-08-21,16:10:15,4
2016-08-17,14:34:48,29
2016-08-17,09:46:39,0
2016-08-15,16:53:01,0
2016-07-28,16:55:31,4
2016-07-25,17:14:24,1
2016-07-25,17:14:18,1
2016-07-24,09:14:31,1
2016-07-18,14:45:01,0
2016-07-16,13:58:55,1
2016-07-16,13:54:47,0
2016-07-16,13:52:49,0
2016-07-04,15:01:16,0
2016-06-28,16:49:56,0
2016-06-15,15:31:57,2
2016-06-03,08:55:49,4
2016-06-03,08:43:45,1
2016-06-01,09:40:47,1
2016-05-28,13:53:32,2
2016-05-21,08:56:01,1
2016-05-19,14:11:12,1
2016-05-16,15:12:29,0
2016-05-14,09:37:12,0
2016-05-09,15:48:04,2
2016-05-08,15:18:57,1
2016-04-29,13:36:29,2
2016-04-29,09:55:40,1
2016-04-29,09:47:06,2
2016-04-21,14:46:06,3
2016-04-18,15:04:45,0
2016-04-11,14:26:12,0
2016-04-11,14:06:19,1
2016-04-05,13:33:22,1
2016-03-31,10:02:15,4
2016-03-25,15:05:34,0
2016-03-25,15:02:31,1
2016-03-25,14:22:53,1
2016-03-13,15:32:46,2
2016-03-13,14:55:21,1
2016-03-11,20:08:28,2
2016-03-10,15:49:52,0
2016-03-10,15:32:16,3
2016-03-08,17:55:35,1
2016-03-08,15:35:38,1
2016-03-08,14:40:33,1
2016-03-08,14:08:27,4
2016-03-08,14:04:34,3
2016-03-08,12:41:45,1
2016-03-06,14:20:59,1
2016-03-05,08:53:19,1
2016-02-18,15:51:51,1
2016-02-18,15:50:34,1
2016-02-18,15:39:09,1
2016-02-14,15:28:15,1
2016-02-14,14:08:13,7
2016-02-14,14:03:38,1
2016-02-03,17:02:26,2
2016-01-30,16:39:55,0
2016-01-30,14:39:47,0
2016-01-24,13:51:35,1
2016-01-22,15:41:11,1
2016-01-22,15:30:46,3
2016-01-16,16:59:30,2
2016-01-16,16:54:00,3
2016-01-15,13:02:35,4
2016-01-14,17:18:50,2
2016-01-14,17:01:02,0
2016-01-14,07:14:28,1
2016-01-11,13:37:10,1
2016-01-11,13:35:20,1
2016-01-11,13:31:17,5
2016-01-11,13:06:56,0
2016-01-07,06:43:02,0
2016-01-04,12:59:42,1
2016-01-02,16:02:53,3
2016-01-01,17:56:28,1
2016-01-01,03:24:43,1
2015-12-31,22:35:04,1
2015-12-31,14:09:26,1
2015-12-31,14:03:58,1
2015-12-31,11:12:28,1
2015-12-31,07:42:46,1
2015-12-12,10:40:56,0
2015-12-08,16:29:17,0
2015-12-08,13:46:27,0
2015-12-06,17:06:30,0
2015-11-27,12:22:54,4
2015-11-21,16:03:17,0
2015-11-21,16:03:00,0
2015-11-10,16:57:04,1
2015-11-10,16:36:23,1
2015-11-10,16:22:26,1
2015-11-10,13:51:32,1
2015-11-10,13:50:04,3
2015-11-10,13:35:57,1
2015-11-10,11:38:09,1
2015-11-10,08:39:57,1
2015-11-10,01:10:06,0
2015-10-31,15:22:09,1
2015-10-20,06:32:54,0
2015-08-25,14:10:06,0
2015-08-22,15:21:35,1
2015-08-18,16:22:00,0
2015-08-10,16:09:40,0
2015-08-04,09:58:37,1
2015-07-22,13:16:11,7
2015-07-15,18:14:56,1
2015-07-01,17:26:48,1
2015-07-01,17:05:20,0
2015-07-01,16:41:38,0
2015-06-30,16:23:37,0
2015-06-25,12:15:28,0
2015-06-24,15:45:57,0
2015-05-27,14:39:22,3
2015-05-09,14:38:19,0
2015-04-02,13:43:16,0
2015-03-31,09:05:29,1
2015-03-24,14:56:37,0
2015-03-17,09:04:51,0
2015-03-10,14:42:14,2
2015-03-08,18:46:22,1
2015-03-08,16:27:42,1
2015-03-08,11:12:43,1
2015-03-08,09:33:32,1
2015-03-08,08:29:12,1
2015-03-08,05:08:39,1
2015-03-08,03:53:11,1
2015-03-03,15:40:04,0
2015-02-14,07:43:37,1
2015-02-12,08:32:54,1
2015-02-11,16:19:36,0
2015-02-07,15:02:00,0
2015-02-05,17:14:09,0
2015-01-30,09:09:33,2
2015-01-26,14:55:47,0
2015-01-19,12:53:37,0
2015-01-19,12:51:04,0
2015-01-18,17:47:15,0
2015-01-18,13:25:50,0
2015-01-16,17:40:29,0
2015-01-16,10:06:42,0
2015-01-15,13:01:27,0
2015-01-12,15:45:43,0
2015-01-12,12:45:34,1
2015-01-12,12:42:36,0
2015-01-12,12:34:47,0
2015-01-10,14:37:48,0
2015-01-10,14:37:38,0
2015-01-10,14:23:12,0
2015-01-10,14:22:25,0
2015-01-10,13:54:20,0
2015-01-08,13:31:10,0
2015-01-08,08:28:33,0
2015-01-07,14:12:21,1
2015-01-07,02:57:53,1
2015-01-06,15:39:22,1
2015-01-06,09:20:08,0
2015-01-06,09:01:47,0
2015-01-06,08:54:15,0
2015-01-06,08:52:01,0
2015-01-06,08:47:55,0
2015-01-01,12:05:42,1
2015-01-01,09:18:55,1
2014-12-31,23:48:06,1
2014-12-31,13:40:54,1
2014-12-31,11:56:21,0
2014-12-31,11:46:55,0
2014-12-31,11:46:26,0
2014-12-31,10:42:31,1
2014-12-31,10:39:47,1
2014-12-31,10:23:44,0
2014-12-31,08:04:51,1
2014-12-30,20:40:50,1
2014-12-30,15:17:04,1
2014-12-30,06:47:57,0
2014-12-29,07:18:42,0
2014-12-29,07:18:05,1
2014-12-28,15:43:28,1
2014-12-28,15:30:24,0
2014-12-28,15:29:34,0
2014-12-26,14:25:51,1
2014-12-26,09:27:00,0
2014-12-26,09:23:07,0
2014-12-26,09:00:57,0
2014-12-24,08:14:49,0
2014-12-24,08:10:00,0
2014-12-23,15:40:12,3
2014-12-23,15:06:24,1
2014-12-23,15:02:08,0
2014-12-22,17:15:34,0
2014-12-22,14:33:16,0
2014-12-22,12:44:54,0
2014-12-18,08:26:10,0
2014-12-18,08:20:29,0
2014-12-17,09:27:46,0
2014-12-17,09:24:09,0
2014-12-17,09:22:41,0
2014-12-17,09:21:08,0
2014-12-17,09:13:25,0
2014-12-17,08:44:40,0
2014-12-15,13:50:28,1
2014-12-14,12:52:01,0
2014-12-14,12:51:15,0
2014-12-13,15:52:42,1
2014-12-13,07:44:03,1
2014-12-13,07:38:23,2
2014-12-13,07:38:05,0
2014-12-13,07:35:44,1
2014-12-13,07:35:18,0
2014-12-12,18:05:27,0
2014-12-12,11:33:19,0
2014-12-10,13:29:34,0
2014-12-10,06:45:34,0
2014-12-09,16:46:07,1
2014-12-09,08:15:00,1
2014-12-08,09:57:10,0
2014-12-07,08:23:57,2
2014-12-06,06:56:59,1
2014-12-06,06:55:41,0
2014-12-06,06:52:30,0
2014-12-06,06:41:29,0
2014-12-04,08:16:36,1
2014-12-04,08:16:08,0
2014-12-02,09:31:17,0
2014-12-02,09:27:13,2
2014-12-02,09:17:11,0
2014-12-02,09:12:16,1
2014-12-02,09:08:52,1
2014-12-01,07:29:24,1
2014-12-01,07:09:23,0
2014-12-01,07:08:28,0
2014-11-28,14:53:04,0
2014-11-28,14:39:00,1
2014-11-28,14:37:25,1
2014-11-27,09:26:18,3
2014-11-24,15:33:36,2
2014-11-23,08:39:04,0
2014-11-23,08:22:42,0
2014-11-21,08:25:21,0
2014-11-21,08:10:29,0
2014-11-19,09:08:54,0
2014-11-18,07:01:25,0
2014-11-17,08:35:16,0
2014-11-17,08:27:41,0
2014-11-17,08:25:12,0
2014-11-17,08:20:51,0
2014-11-15,12:22:31,1
2014-11-15,12:20:04,0
2014-11-14,10:07:58,1
2014-11-13,14:17:10,5
2014-11-12,06:49:43,1
2014-11-10,20:04:41,1
2014-11-10,17:57:05,1
2014-11-10,17:51:12,1
2014-11-10,15:17:29,0
2014-11-10,14:59:46,0
2014-11-10,14:48:19,0
2014-11-10,14:44:54,1
2014-11-10,12:18:35,1
2014-11-10,10:30:08,1
2014-11-10,10:29:33,1
2014-11-10,10:25:21,1
2014-11-10,10:24:35,1
2014-11-10,10:23:38,1
2014-11-10,10:23:00,1
2014-11-10,09:57:20,1
2014-11-10,08:55:53,1
2014-11-10,07:25:46,2
2014-11-10,07:23:32,2
2014-11-10,04:30:58,1
2014-11-10,04:10:33,1
2014-11-09,20:03:44,1
2014-11-09,17:12:07,1
2014-11-09,17:09:11,1
2014-11-06,10:25:05,1
2014-11-06,10:23:11,1
2014-11-06,10:22:02,1
2014-11-06,09:54:31,0
2014-11-06,09:52:41,0
2014-11-06,09:12:36,0
2014-11-03,07:24:07,0
2014-10-31,16:22:16,1
2014-10-31,09:29:40,0
2014-10-31,09:19:13,0
2014-10-31,09:12:44,2
2014-10-31,08:29:14,0
2014-10-30,14:45:11,0
2014-10-29,08:26:49,0
2014-10-28,06:40:32,1
2014-10-16,08:49:27,0
2014-10-15,12:35:16,0
2014-10-15,12:35:00,0
2014-10-15,12:17:52,0
2014-10-15,12:01:43,1
2014-10-15,11:47:04,0
2014-10-12,16:17:08,2
2014-10-12,16:05:46,0
2014-10-12,16:04:42,0
2014-10-12,16:01:42,0
2014-10-12,15:40:41,0
2014-10-08,08:24:32,0
2014-10-08,08:18:46,0
2014-10-05,08:04:08,0
2014-10-05,07:12:09,0
2014-10-02,08:09:42,0
2014-10-02,08:06:39,0
2014-10-02,07:38:05,0
2014-10-01,16:01:29,0
2014-09-30,14:30:35,0
2014-09-30,11:58:39,0
2014-09-28,12:03:45,0
2014-09-28,11:58:35,0
2014-09-28,10:57:25,0
2014-09-27,09:10:46,0
2014-09-27,09:09:48,0
2014-09-27,09:07:04,0
2014-09-27,09:00:00,0
2014-09-25,09:01:39,0
2014-09-25,08:58:30,0
2014-09-19,12:04:13,1
2014-09-18,14:09:08,0
2014-09-18,13:34:52,0
2014-09-18,13:11:57,0
2014-09-18,13:06:37,1
2014-09-16,12:42:14,0
2014-09-16,12:14:26,1
2014-09-14,13:33:48,0
2014-09-14,08:07:44,0
2014-09-14,07:44:35,0
2014-09-14,07:37:39,0
2014-09-09,09:10:13,1
2014-09-09,09:10:05,1
2014-09-04,08:38:26,0
2014-09-04,08:32:12,0
2014-09-04,08:09:30,0
2014-09-04,08:06:07,0
2014-09-04,08:03:54,0
2014-08-31,12:33:33,0
2014-08-31,12:07:20,0
2014-08-29,13:53:00,0
2014-08-26,11:55:32,0
2014-08-20,12:30:59,0
2014-08-20,12:13:29,0
2014-08-20,12:02:05,0
2014-08-19,14:29:38,1
2014-08-19,14:22:33,0
2014-08-18,16:07:25,0
2014-08-18,12:44:11,0
2014-08-18,12:00:14,0
2014-08-15,13:03:09,1
2014-08-14,11:13:17,0
2014-08-12,11:58:51,0
2014-08-12,11:51:50,0
2014-08-12,11:38:33,0
2014-08-12,11:28:38,0
2014-08-10,13:25:53,0
2014-08-10,06:57:48,0
2014-08-10,06:57:22,0
2014-08-09,08:18:08,0
2014-08-05,13:01:45,0
2014-08-03,12:37:05,0
2014-08-01,12:21:02,0
2014-08-01,12:16:42,0
2014-07-31,12:02:34,0
2014-07-31,11:56:08,0
2014-07-30,13:03:00,0
2014-07-30,12:51:06,0
2014-07-30,12:47:37,0
2014-07-28,13:21:35,0
2014-07-26,12:41:33,0
2014-07-26,11:49:27,0
2014-07-25,12:26:38,0
2014-07-24,16:28:09,0
2014-07-22,13:18:10,0
2014-07-21,12:52:41,0
2014-07-20,13:02:27,0
2014-07-20,12:53:20,0
2014-07-20,12:40:41,0
2014-07-20,12:39:12,0
2014-07-17,14:22:54,0
2014-07-17,13:53:19,0
2014-07-17,13:44:14,0
2014-07-17,13:44:10,0
2014-07-17,13:44:05,0
2014-07-17,13:43:57,0
2014-07-17,12:58:01,0
2014-07-16,15:44:41,0
2014-07-14,14:14:43,0
2014-07-14,13:58:26,0
2014-07-13,12:58:11,0
2014-07-13,12:35:14,0
2014-07-09,16:18:46,0
2014-07-09,16:07:39,0
2014-07-09,15:30:05,0
2014-07-09,15:11:51,0
2014-07-09,15:11:08,0
2014-07-08,12:27:15,0
2014-07-08,12:26:28,0
2014-07-07,13:39:18,0
2014-07-05,14:41:08,1
2014-07-05,14:11:52,1
2014-07-05,12:45:06,0
2014-07-05,12:34:51,0
2014-07-05,12:32:25,0
2014-07-02,08:04:45,0
2014-07-02,07:52:50,0
2014-07-02,07:49:55,0
2014-07-02,07:48:39,0
2014-06-30,15:55:55,3
2014-06-28,12:46:32,0
2014-06-24,14:47:54,0
2014-06-22,13:58:40,1
2014-06-22,13:53:27,0
2014-06-22,13:39:26,0
2014-06-22,13:39:09,1
2014-06-22,13:15:10,0
2014-06-22,13:06:53,0
2014-06-20,14:30:38,0
2014-06-20,14:12:35,0
2014-06-18,13:23:32,0
2014-06-16,16:21:31,1
2014-06-15,12:27:32,0
2014-06-10,13:41:37,0
2014-06-10,13:28:17,0
2014-06-10,13:27:50,0
2014-06-10,13:27:06,0
2014-06-08,16:37:40,0
2014-06-08,16:37:21,0
2014-06-08,13:56:16,0
2014-06-04,09:30:26,0
2014-06-03,13:05:34,0
2014-06-03,12:54:52,0
2014-05-31,14:06:11,0
2014-05-31,13:13:04,2
2014-05-31,12:43:47,0
2014-05-29,14:12:22,0
2014-05-29,13:56:03,0
2014-05-29,13:25:12,0
2014-05-29,12:44:48,0
2014-05-26,12:24:27,0
2014-05-25,14:14:40,0
2014-05-25,14:07:26,0
2014-05-25,14:05:51,1
2014-05-23,13:43:21,0
2014-05-23,13:08:37,0
2014-05-23,12:47:23,0
2014-05-22,16:36:22,0
2014-05-21,14:51:07,0
2014-05-21,14:46:53,0
2014-05-19,17:11:51,1
2014-05-17,14:25:45,1
2014-05-17,13:52:38,0
2014-05-15,17:23:18,0
2014-05-15,15:23:11,0
2014-05-15,14:52:25,0
2014-05-15,14:37:36,0
2014-05-15,14:29:34,0
2014-05-15,13:45:00,1
2014-05-13,13:24:00,0
2014-05-13,06:27:01,0
2014-05-13,06:20:57,0
2014-05-11,11:21:40,0
2014-05-11,11:17:41,0
2014-05-09,13:36:14,0
2014-05-09,12:06:48,0
2014-05-08,08:06:35,0
2014-05-08,07:53:21,0
2014-05-08,07:50:42,0
2014-05-08,07:02:08,0
2014-05-08,06:50:16,0
2014-05-08,06:47:00,0
2014-05-03,16:37:51,1
2014-05-03,16:37:43,0
2014-05-02,17:29:00,1
2014-05-02,10:01:28,0
2014-05-02,09:42:04,1
2014-05-02,09:39:07,0
2014-05-02,09:35:42,0
2014-05-02,09:18:31,1
2014-05-01,13:31:42,1
2014-05-01,13:00:09,1
2014-05-01,11:57:10,0
2014-05-01,11:52:39,0
2014-04-29,12:59:04,0
2014-04-29,12:49:30,0
2014-04-29,12:29:33,0
2014-04-29,12:28:12,0
2014-04-29,12:16:35,0
2014-04-28,11:09:01,2
2014-04-25,13:58:09,0
2014-04-25,13:07:17,0
2014-04-24,11:51:00,1
2014-04-23,14:02:21,0
2014-04-22,14:17:13,0
2014-04-20,15:52:55,1
2014-04-20,14:29:18,0
2014-04-20,14:23:00,0
2014-04-20,14:04:58,0
2014-04-17,07:45:02,0
2014-04-17,07:18:23,0
2014-04-16,14:53:33,0
2014-04-13,13:16:18,0
2014-04-13,12:22:40,0
2014-04-13,11:36:27,1
2014-04-13,11:15:55,0
2014-04-13,11:13:39,0
2014-04-13,11:07:09,1
2014-04-13,11:05:30,0
2014-04-11,12:13:49,0
2014-04-09,15:22:15,0
2014-04-09,12:27:36,0
2014-04-08,07:09:29,0
2014-04-07,10:24:45,1
2014-04-07,06:31:50,1
2014-04-06,14:00:43,0
2014-04-06,13:48:21,0
2014-04-06,13:47:51,0
2014-04-06,13:44:43,0
2014-04-05,08:25:56,0
2014-04-05,07:33:30,0
2014-04-04,07:20:12,0
2014-04-02,18:11:59,1
2014-04-02,12:46:48,1
2014-03-31,12:00:44,2
2014-03-31,11:54:38,0
2014-03-31,11:53:51,0
2014-03-31,11:38:04,0
2014-03-30,14:23:05,0
2014-03-30,12:22:44,0
2014-03-27,04:17:22,0
2014-03-27,04:16:15,0
2014-03-27,03:58:27,0
2014-03-27,03:54:10,0
2014-03-24,14:24:26,0
2014-03-24,14:15:53,0
2014-03-24,10:28:48,0
2014-03-22,12:27:17,0
2014-03-20,13:48:41,0
2014-03-20,13:36:13,0
2014-03-20,13:23:20,0
2014-03-16,13:42:31,0
2014-03-16,13:13:23,0
2014-03-15,12:26:10,0
2014-03-14,12:32:24,0
2014-03-14,12:27:10,0
2014-03-12,13:44:51,0
2014-03-12,08:22:26,0
2014-03-12,08:19:36,0
2014-03-11,15:40:38,0
2014-03-11,13:27:49,0
2014-03-11,08:21:14,0
2014-03-10,11:53:01,0
2014-03-08,17:09:31,1
2014-03-08,14:20:32,1
2014-03-08,09:39:50,1
2014-03-08,08:20:08,1
2014-03-08,07:22:10,1
2014-03-07,21:21:00,1
2014-03-07,16:26:30,1
2014-03-06,14:19:27,0
2014-03-06,13:24:30,0
2014-03-06,13:21:29,0
2014-03-06,07:31:59,0
2014-03-05,16:40:59,1
2014-03-04,13:29:09,0
2014-03-04,13:12:05,0
2014-03-01,14:49:38,0
2014-03-01,14:28:52,0
2014-03-01,14:09:42,0
2014-02-27,12:19:11,0
2014-02-24,12:44:56,1
2014-02-24,11:55:39,0
2014-02-24,11:55:00,0
2014-02-24,11:48:07,0
2014-02-24,11:46:59,0
2014-02-24,11:40:45,0
2014-02-24,11:39:01,0
2014-02-24,11:33:18,0
2014-02-24,11:20:34,0
2014-02-24,10:59:39,0
2014-02-18,08:03:20,1
2014-02-17,07:12:52,1
2014-02-17,07:07:47,0
2014-02-17,07:03:49,0
2014-02-14,16:48:10,1
2014-02-14,15:51:37,0
2014-02-14,15:42:32,0
2014-02-14,15:38:44,1
2014-02-06,12:38:40,0
2014-02-06,12:36:48,0
2014-02-05,15:06:55,1
2014-02-05,15:02:21,1
2014-02-05,14:55:40,1
2014-02-05,14:45:58,1
2014-02-03,13:16:09,0
2014-02-03,13:16:00,1
2014-02-03,13:15:55,0
2014-02-03,08:20:39,0
2014-02-01,14:59:39,0
2014-01-29,13:52:29,1
2014-01-28,12:24:45,0
2014-01-25,13:09:26,0
2014-01-25,07:06:38,0
2014-01-25,06:50:01,0
2014-01-24,11:17:33,0
2014-01-24,11:15:51,0
2014-01-24,10:55:13,0
2014-01-23,08:03:32,0
2014-01-23,08:03:05,0
2014-01-14,04:56:14,0
2014-01-13,12:07:48,0
2014-01-11,08:30:24,0
2014-01-11,08:18:14,0
2014-01-11,07:49:12,0
2014-01-11,07:48:57,0
2014-01-11,07:23:41,0
2014-01-08,12:07:45,0
2014-01-08,11:42:47,1
2014-01-07,12:22:13,0
2014-01-03,07:39:08,1
2014-01-03,07:30:04,0
2014-01-01,16:01:44,0
2014-01-01,06:00:39,1
2014-01-01,05:56:55,1
2014-01-01,05:42:23,0
2014-01-01,05:40:41,1
2014-01-01,05:28:23,1
2014-01-01,05:23:31,1
